iter	Passed	Remaining
0	145	144872
1	145	72669
2	146	48724
3	147	36816
4	149	29784
5	151	25073
6	153	21747
7	154	19123
8	156	17195
9	158	15647
10	159	14314
11	160	13235
12	162	12319
13	163	11539
14	165	10858
15	166	10238
16	167	9712
17	168	9214
18	170	8778
19	171	8381
20	172	8021
21	173	7691
22	174	7399
23	175	7118
24	175	6855
25	176	6613
26	177	6393
27	178	6183
28	178	5988
29	179	5808
30	180	5640
31	181	5483
32	181	5331
33	182	5192
34	183	5057
35	184	4935
36	185	4819
37	185	4706
38	186	4597
39	187	4493
40	188	4398
41	188	4303
42	189	4217
43	190	4131
44	190	4052
45	191	3977
46	192	3904
47	193	3834
48	194	3767
49	194	3700
50	195	3637
51	196	3580
52	197	3521
53	197	3464
54	198	3407
55	199	3358
56	199	3307
57	200	3260
58	201	3213
59	202	3165
60	202	3121
61	203	3078
62	204	3036
63	204	2997
64	205	2960
65	206	2923
66	207	2888
67	207	2849
68	208	2814
69	209	2780
70	210	2747
71	210	2715
72	211	2683
73	212	2652
74	212	2623
75	213	2595
76	214	2567
77	214	2538
78	215	2511
79	216	2484
80	216	2460
81	217	2435
82	218	2410
83	218	2385
84	219	2359
85	219	2335
86	220	2311
87	220	2288
88	221	2266
89	222	2244
90	222	2224
91	223	2203
92	223	2183
93	224	2163
94	225	2144
95	225	2125
96	226	2107
97	227	2089
98	227	2072
99	228	2055
100	228	2037
101	229	2018
102	229	2001
103	230	1985
104	231	1969
105	231	1953
106	232	1938
107	232	1922
108	233	1907
109	233	1893
110	234	1878
111	235	1863
112	235	1849
113	236	1836
114	236	1822
115	237	1807
116	237	1794
117	238	1782
118	238	1769
119	239	1757
120	240	1746
121	240	1734
122	241	1720
123	242	1709
124	242	1698
125	243	1687
126	244	1677
127	244	1665
128	245	1654
129	245	1644
130	246	1634
131	247	1624
132	247	1616
133	248	1606
134	249	1596
135	249	1587
136	250	1578
137	251	1569
138	252	1561
139	252	1552
140	253	1544
141	254	1535
142	254	1527
143	255	1519
144	256	1511
145	257	1503
146	257	1496
147	258	1488
148	259	1480
149	259	1472
150	260	1465
151	261	1457
152	261	1450
153	262	1443
154	263	1436
155	264	1429
156	264	1422
157	265	1415
158	266	1408
159	266	1401
160	267	1394
161	268	1388
162	269	1381
163	269	1374
164	270	1367
165	270	1360
166	271	1353
167	271	1346
168	272	1339
169	272	1332
170	273	1325
171	274	1319
172	274	1312
173	275	1306
174	275	1299
175	276	1293
176	276	1287
177	277	1281
178	278	1275
179	278	1268
180	278	1261
181	279	1255
182	279	1249
183	280	1243
184	281	1237
185	281	1232
186	282	1226
187	282	1220
188	283	1215
189	283	1209
190	284	1204
191	284	1198
192	285	1193
193	285	1187
194	286	1182
195	287	1177
196	287	1172
197	288	1167
198	288	1161
199	289	1156
200	289	1151
201	290	1146
202	290	1142
203	291	1137
204	291	1132
205	292	1127
206	293	1122
207	293	1117
208	294	1113
209	294	1108
210	295	1104
211	295	1099
212	296	1094
213	296	1090
214	297	1086
215	298	1081
216	298	1077
217	299	1073
218	299	1068
219	300	1064
220	300	1060
221	301	1056
222	301	1051
223	302	1047
224	302	1043
225	303	1039
226	304	1035
227	304	1031
228	305	1027
229	305	1023
230	306	1019
231	306	1015
232	307	1012
233	307	1008
234	308	1004
235	309	1000
236	309	997
237	310	993
238	310	989
239	311	985
240	311	982
241	312	978
242	312	974
243	313	971
244	314	967
245	314	964
246	315	960
247	315	957
248	316	953
249	316	950
250	317	946
251	317	943
252	318	939
253	318	936
254	319	933
255	320	930
256	320	927
257	321	925
258	322	922
259	323	919
260	323	917
261	324	913
262	325	910
263	325	907
264	326	904
265	326	901
266	327	898
267	327	895
268	328	892
269	328	889
270	329	886
271	330	883
272	330	880
273	331	877
274	331	874
275	332	871
276	332	868
277	333	865
278	333	862
279	334	860
280	335	857
281	335	854
282	336	851
283	336	848
284	337	846
285	337	843
286	338	840
287	338	837
288	339	835
289	339	832
290	340	829
291	341	827
292	341	824
293	342	821
294	342	819
295	343	816
296	343	813
297	344	811
298	345	808
299	345	806
300	346	803
301	346	801
302	347	798
303	347	796
304	348	793
305	349	791
306	349	789
307	350	786
308	350	784
309	351	782
310	351	779
311	352	777
312	353	774
313	353	772
314	354	770
315	354	767
316	355	765
317	355	763
318	356	760
319	356	758
320	357	756
321	358	753
322	358	751
323	359	749
324	359	746
325	360	744
326	360	742
327	361	740
328	362	738
329	362	736
330	363	734
331	363	732
332	364	729
333	364	727
334	365	725
335	366	723
336	366	721
337	367	719
338	367	717
339	368	714
340	368	712
341	369	710
342	369	708
343	370	706
344	371	704
345	371	702
346	372	700
347	372	698
348	373	696
349	373	694
350	374	691
351	374	689
352	375	687
353	375	685
354	376	683
355	376	681
356	377	679
357	378	678
358	378	676
359	379	674
360	379	672
361	380	670
362	380	668
363	381	666
364	381	664
365	382	662
366	382	660
367	383	658
368	384	656
369	384	655
370	385	653
371	385	651
372	386	649
373	387	647
374	387	645
375	388	644
376	388	642
377	389	640
378	389	638
379	390	636
380	390	635
381	391	633
382	392	631
383	392	629
384	393	628
385	393	626
386	394	624
387	394	622
388	395	620
389	395	619
390	396	617
391	397	615
392	397	614
393	398	612
394	398	610
395	399	608
396	399	607
397	400	605
398	400	603
399	401	602
400	402	600
401	402	598
402	403	597
403	403	595
404	404	593
405	404	592
406	405	590
407	405	589
408	406	587
409	407	585
410	407	584
411	408	582
412	408	581
413	409	579
414	409	577
415	410	576
416	411	574
417	411	573
418	412	571
419	412	570
420	413	568
421	413	566
422	414	565
423	415	563
424	415	562
425	416	560
426	416	559
427	417	557
428	417	556
429	418	554
430	418	553
431	419	551
432	420	550
433	420	548
434	421	547
435	421	545
436	422	544
437	422	542
438	423	540
439	423	539
440	424	537
441	424	536
442	425	534
443	425	533
444	426	531
445	427	530
446	427	529
447	428	527
448	428	526
449	429	524
450	429	523
451	430	521
452	430	520
453	431	518
454	432	517
455	432	516
456	433	514
457	433	513
458	434	511
459	434	510
460	435	509
461	435	507
462	436	506
463	437	504
464	437	503
465	438	502
466	438	500
467	439	499
468	439	498
469	440	496
470	441	495
471	441	494
472	442	492
473	442	491
474	443	489
475	443	488
476	444	487
477	444	485
478	445	484
479	446	483
480	446	481
481	447	480
482	447	479
483	448	477
484	448	476
485	449	475
486	449	473
487	450	472
488	451	471
489	451	470
490	452	468
491	452	467
492	453	466
493	454	465
494	454	463
495	455	462
496	455	461
497	456	459
498	456	458
499	457	457
500	457	456
501	458	454
502	459	453
503	459	452
504	460	451
505	460	449
506	461	448
507	461	447
508	462	445
509	462	444
510	463	443
511	463	442
512	464	440
513	465	439
514	465	438
515	466	437
516	466	436
517	467	434
518	467	433
519	468	432
520	469	431
521	469	430
522	470	428
523	470	427
524	471	426
525	471	425
526	472	423
527	472	422
528	473	421
529	474	420
530	474	419
531	475	418
532	475	416
533	476	415
534	476	414
535	477	413
536	478	412
537	478	411
538	479	409
539	479	408
540	480	407
541	480	406
542	481	405
543	482	404
544	482	402
545	483	401
546	483	400
547	484	399
548	484	398
549	485	397
550	485	395
551	486	394
552	486	393
553	487	392
554	488	391
555	488	390
556	489	389
557	489	387
558	490	386
559	490	385
560	491	384
561	491	383
562	492	382
563	493	381
564	493	380
565	494	379
566	495	378
567	495	377
568	496	376
569	497	375
570	497	374
571	498	373
572	499	372
573	499	370
574	500	369
575	501	368
576	501	367
577	502	366
578	502	365
579	503	364
580	503	363
581	504	362
582	505	361
583	505	360
584	506	359
585	506	358
586	507	356
587	507	355
588	508	354
589	509	353
590	509	352
591	510	351
592	510	350
593	511	349
594	511	348
595	512	347
596	513	346
597	513	345
598	514	344
599	514	343
600	515	342
601	515	340
602	516	339
603	516	338
604	517	337
605	517	336
606	518	335
607	519	334
608	519	333
609	520	332
610	520	331
611	521	330
612	521	329
613	522	328
614	522	327
615	523	326
616	524	325
617	524	324
618	525	323
619	525	322
620	526	321
621	526	320
622	527	319
623	527	318
624	528	317
625	529	316
626	529	314
627	529	313
628	530	312
629	531	311
630	531	310
631	532	309
632	532	308
633	533	307
634	533	306
635	534	305
636	534	304
637	535	303
638	536	302
639	536	301
640	537	300
641	537	299
642	538	298
643	538	297
644	539	296
645	540	295
646	540	294
647	541	293
648	541	292
649	542	292
650	542	291
651	543	290
652	544	289
653	544	288
654	545	287
655	545	286
656	546	285
657	546	284
658	547	283
659	547	282
660	548	281
661	548	280
662	549	279
663	549	278
664	550	277
665	551	276
666	551	275
667	552	274
668	553	273
669	553	272
670	554	271
671	554	270
672	555	269
673	556	268
674	556	267
675	557	267
676	557	266
677	558	265
678	558	264
679	559	263
680	559	262
681	560	261
682	560	260
683	561	259
684	562	258
685	562	257
686	563	256
687	563	255
688	564	254
689	564	253
690	565	252
691	565	251
692	566	250
693	567	250
694	567	249
695	568	248
696	568	247
697	569	246
698	569	245
699	570	244
700	571	243
701	571	242
702	572	241
703	572	240
704	573	239
705	573	238
706	574	237
707	574	237
708	575	236
709	575	235
710	576	234
711	576	233
712	577	232
713	578	231
714	578	230
715	579	229
716	579	228
717	580	227
718	580	226
719	581	226
720	582	225
721	582	224
722	583	223
723	583	222
